id,time,latitude,longitude
ak0202rdcy5w,2020-02-29T08:59:05.801Z,60.992,-150.4936
ak0202rf0593,2020-02-29T11:35:24.761Z,61.4968,-149.9084
ak0202rfexz9,2020-02-29T12:04:27.338Z,63.1404,-150.4768
ak0202rfhy8h,2020-02-29T12:18:31.922Z,61.4729,-152.1364
ak0202rfj21s,2020-02-29T12:23:47.848Z,58.5548,-153.9546
ak0202rflqz8,2020-02-29T12:36:03.967Z,61.4826,-151.8196
ak0202rfq5ca,2020-02-29T12:56:56.421Z,58.4308,-154.7449
ak0202rga6hf,2020-02-29T13:50:02.593Z,62.8268,-149.8465
ak0202rgom7c,2020-02-29T14:17:37.987Z,61.5047,-149.8824
ak0202rh81h9,2020-02-29T15:08:00.612Z,62.1015,-145.4852
ak0202rhb1h0,2020-02-29T15:22:00.850Z,65.9408,-151.1231
ak0202rhwc9p,2020-02-29T16:21:37.570Z,59.9361,-152.7051
ak0202rj2byx,2020-02-29T18:17:29.159Z,57.6561,-155.7911
ak0202rj66f6,2020-02-29T18:35:23.859Z,63.5586,-151.0707
ak0202rj8cok,2020-02-29T18:45:38.254Z,61.7663,-149.9962
ak0202rjmw8v,2020-02-29T19:13:23.392Z,66.1353,-157.3056
ak0202rjwqk3,2020-02-29T19:59:15.512Z,66.1941,-157.1994
ak0202rk61ne,2020-02-29T20:02:58.446Z,66.3337,-157.35
ak0202rkhc9h,2020-02-29T20:55:28.113Z,66.1897,-156.9683
ak0202rksji5,2020-02-29T21:07:54.177Z,59.2105,-152.5131
ak0202rl10do,2020-02-29T21:47:06.319Z,59.6075,-152.8434
ak0202rlfwly,2020-02-29T22:16:54.916Z,61.2817,-146.8527
ak0202rlheck,2020-02-29T22:23:51.986Z,64.9473,-147.2906
ak0202rm3fvn,2020-02-29T23:26:35.119Z,59.6114,-153.1137
ak0202sw07as,2020-03-01T00:37:47.709Z,60.9047,-151.4378
ak0202sw1x30,2020-03-01T00:45:48.448Z,62.1397,-150.3627
ak0202swgoir,2020-03-01T01:14:35.647Z,63.474,-147.7272
ak0202swh2up,2020-03-01T01:16:20.893Z,59.887,-152.7386
ak0202swhyoj,2020-03-01T01:20:34.380Z,66.1986,-157.186
ak0202swl50x,2020-03-01T01:35:16.004Z,61.5667,-149.9912
ak0202swltcc,2020-03-01T01:38:31.459Z,62.663,-151.9981
ak0202swmmt5,2020-03-01T01:42:12.884Z,62.9444,-149.738
ak0202sx0l88,2020-03-01T02:07:23.458Z,69.6104,-144.8002
ak0202sx3t1n,2020-03-01T02:22:25.393Z,60.495,-150.8616
ak0202sx7qb9,2020-03-01T02:40:56.575Z,61.6625,-150.101
ak0202sxsqo3,2020-03-01T03:38:58.548Z,69.5728,-144.849
ak0202sy78yv,2020-03-01T04:06:28.688Z,61.5144,-149.8806
ak0202sy7w4f,2020-03-01T04:09:28.837Z,63.2577,-150.4929
ak0202sydo19,2020-03-01T04:36:41.038Z,60.4808,-152.2581
ak0202syuuw1,2020-03-01T05:16:42.658Z,59.9568,-152.927
ak0202syzhfz,2020-03-01T05:38:01.110Z,60.8321,-149.0437
ak0202szlrza,2020-03-01T06:42:01.820Z,61.8024,-147.1271
ak0202szot9o,2020-03-01T06:56:18.367Z,61.0343,-147.4896
ak0202t00utw,2020-03-01T07:12:38.168Z,59.5147,-152.3652
ak0202t0tehs,2020-03-01T08:45:55.840Z,61.3884,-150.0699
ak0202t0vr32,2020-03-01T08:56:52.082Z,61.5663,-146.4069
ak0202t15j4u,2020-03-01T09:02:14.700Z,67.574,-162.0369
ak0202t173yd,2020-03-01T09:09:51.099Z,60.2737,-151.3246
ak0202t20fd7,2020-03-01T10:46:29.233Z,62.2199,-145.5811
ak0202t21odg,2020-03-01T10:52:12.558Z,57.7585,-154.93
ak0202t2eycl,2020-03-01T11:14:07.092Z,61.6339,-149.9383
ak0202t35yhi,2020-03-01T12:40:05.980Z,58.2709,-153.9906
ak0202t456aw,2020-03-01T14:04:36.937Z,64.7182,-149.1664
ak0202t461oe,2020-03-01T14:08:43.612Z,63.23,-152.103
ak0202t4danx,2020-03-01T14:42:25.841Z,64.6903,-146.8443
ak0202t4prhq,2020-03-01T15:00:42.715Z,61.483,-150.0027
